LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-01,00:14:00,151
2016-06-01,00:29:00,131
2016-06-01,00:44:00,147
2016-06-01,00:59:00,101
2016-06-02,01:14:00,194
2016-06-02,01:29:00,129
2016-06-02,01:44:00,83
2016-06-02,01:59:00,74
2016-06-02,02:14:00,58
2016-06-02,02:29:00,36
2016-06-02,02:44:00,68
2016-06-02,02:59:00,72
2016-06-02,03:14:00,70
2016-06-02,03:29:00,68
2016-06-02,03:44:00,61
2016-06-02,03:59:00,75
2016-06-02,04:14:00,90
2016-06-02,04:29:00,95
2016-06-02,04:44:00,128
2016-06-02,04:59:00,161
2016-06-02,05:14:00,227
2016-06-02,05:29:00,290
2016-06-02,05:44:00,439
2016-06-02,05:59:00,478
2016-06-02,06:14:00,547
2016-06-02,06:29:00,534
2016-06-02,06:44:00,583
2016-06-02,06:59:00,512
2016-06-02,07:14:00,586
2016-06-02,07:29:00,611
2016-06-02,07:44:00,573
2016-06-02,07:59:00,545
2016-06-02,08:14:00,525
2016-06-02,08:29:00,549
2016-06-02,08:44:00,527
2016-06-02,08:59:00,452
2016-06-02,09:14:00,490
2016-06-02,09:29:00,521
2016-06-02,09:44:00,431
2016-06-02,09:59:00,419
2016-06-02,10:14:00,374
2016-06-02,10:29:00,416
2016-06-02,10:44:00,425
2016-06-02,10:59:00,358
2016-06-02,11:14:00,423
2016-06-02,11:29:00,337
2016-06-02,11:44:00,392
2016-06-02,11:59:00,319
2016-06-02,12:14:00,402
2016-06-02,12:29:00,422
2016-06-02,12:44:00,412
2016-06-02,12:59:00,425
2016-06-02,13:14:00,424
2016-06-02,13:29:00,443
2016-06-02,13:44:00,416
2016-06-02,13:59:00,418
2016-06-02,14:14:00,510
2016-06-02,14:29:00,489
2016-06-02,14:44:00,470
2016-06-02,14:59:00,480
2016-06-02,15:14:00,509
2016-06-02,15:29:00,541
2016-06-02,15:44:00,584
2016-06-02,15:59:00,532
2016-06-02,16:14:00,552
2016-06-02,16:29:00,546
2016-06-02,16:44:00,672
2016-06-02,16:59:00,547
2016-06-02,17:14:00,660
2016-06-02,17:29:00,616
2016-06-02,17:44:00,388
2016-06-02,17:59:00,539
2016-06-02,18:14:00,606
2016-06-02,18:29:00,567
2016-06-02,18:44:00,443
2016-06-02,18:59:00,503
2016-06-02,19:14:00,440
2016-06-02,19:29:00,450
2016-06-02,19:44:00,416
2016-06-02,19:59:00,381
2016-06-02,20:14:00,341
2016-06-02,20:29:00,392
2016-06-02,20:44:00,345
2016-06-02,20:59:00,321
2016-06-02,21:14:00,324
2016-06-02,21:29:00,347
2016-06-02,21:44:00,312
2016-06-02,21:59:00,314
2016-06-02,22:14:00,196
2016-06-02,22:29:00,199
2016-06-02,22:44:00,198
2016-06-02,22:59:00,150
2016-06-02,23:14:00,172
2016-06-02,23:29:00,194
2016-06-02,23:44:00,225
2016-06-02,23:59:00,225
2016-06-03,00:14:00,169
2016-06-03,00:29:00,179
2016-06-03,00:44:00,121
2016-06-03,00:59:00,175
2016-06-03,01:14:00,141
2016-06-03,01:29:00,86
2016-06-03,01:44:00,63
