LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-05,06:44:00,266
2016-06-15,00:29:00,172
2016-06-26,18:14:00,433
2016-06-23,09:14:00,509
2016-06-12,18:29:00,400
2016-07-02,07:14:00,376
2016-06-15,07:14:00,563
2016-06-20,16:14:00,649
2016-06-04,12:44:00,453
2016-06-23,03:14:00,64
2016-07-03,00:29:00,222
2016-06-08,09:44:00,456
2016-06-26,22:14:00,193
2016-06-12,22:29:00,232
2016-06-20,04:44:00,153
2016-06-21,12:29:00,379
2016-06-05,08:59:00,336
2016-06-12,21:14:00,299
2016-06-26,23:59:00,244
2016-06-19,23:14:00,174
2016-06-21,21:14:00,295
2016-06-24,13:14:00,486
2016-06-05,00:14:00,199
2016-07-02,20:59:00,267
2016-06-29,03:14:00,74
2016-06-14,11:59:00,335
2016-06-07,21:44:00,290
2016-06-20,05:44:00,418
2016-06-12,00:14:00,207
2016-06-22,08:29:00,589
2016-06-19,09:59:00,374
2016-06-15,13:59:00,481
2016-06-14,15:44:00,504
2016-07-03,05:59:00,199
2016-07-02,06:29:00,318
2016-06-04,02:44:00,88
2016-06-13,21:59:00,267
2016-07-02,16:59:00,414
2016-06-12,18:59:00,355
2016-07-02,01:59:00,83
2016-06-20,21:59:00,234
2016-06-02,18:14:00,606
2016-06-12,07:59:00,279
2016-06-16,01:59:00,140
2016-06-01,00:14:00,151
2016-06-28,21:14:00,320
2016-06-08,07:29:00,513
2016-06-28,03:59:00,98
2016-06-29,06:59:00,537
2016-06-12,07:29:00,285
2016-06-24,22:29:00,189
2016-06-27,00:14:00,217
2016-06-03,07:14:00,524
2016-06-05,04:59:00,150
2016-06-04,01:44:00,43
2016-07-02,14:59:00,428
2016-06-06,02:14:00,77
2016-06-30,16:29:00,702
2016-06-05,04:44:00,111
2016-06-09,11:44:00,381
2016-06-16,12:29:00,450
2016-06-18,10:14:00,423
2016-06-21,20:29:00,336
2016-06-16,14:44:00,462
2016-06-06,07:29:00,533
2016-06-27,00:59:00,206
2016-06-03,19:14:00,498
2016-06-23,09:44:00,414
2016-06-07,20:14:00,358
2016-06-25,05:59:00,264
2016-06-25,11:29:00,466
2016-06-22,18:44:00,544
2016-06-02,08:59:00,452
2016-06-11,21:14:00,210
2016-06-22,06:44:00,543
2016-06-06,00:14:00,200
2016-06-30,01:14:00,117
2016-06-05,07:29:00,331
2016-06-08,02:59:00,66
2016-06-09,23:59:00,130
2016-06-03,04:59:00,156
2016-07-01,08:59:00,510
2016-06-29,23:29:00,201
2016-06-23,04:14:00,77
2016-06-19,19:44:00,484
2016-06-15,21:44:00,306
2016-06-16,11:44:00,353
2016-07-03,23:44:00,186
2016-06-25,17:59:00,369
2016-06-23,07:44:00,496
2016-06-19,18:44:00,488
2016-06-30,06:29:00,644
2016-06-22,06:59:00,517
2016-06-30,18:14:00,645
2016-06-27,04:44:00,168
2016-06-24,18:14:00,528
2016-07-01,18:44:00,549
2016-06-15,10:44:00,355
2016-06-25,05:44:00,257
2016-06-13,15:29:00,544
2016-06-23,05:59:00,505
2016-06-19,12:29:00,451
2016-06-02,20:29:00,392
2016-06-21,22:44:00,164
2016-06-29,09:29:00,453
2016-06-05,08:44:00,317
2016-06-22,08:14:00,610
2016-06-16,05:29:00,303
2016-06-17,03:14:00,85
2016-06-22,15:59:00,567
2016-06-11,13:59:00,436
2016-07-01,17:59:00,596
2016-06-07,04:29:00,79
2016-06-14,01:29:00,85
2016-06-30,06:59:00,560
2016-06-17,14:14:00,428
2016-06-07,23:59:00,112
2016-06-26,17:59:00,412
2016-06-16,23:14:00,198
2016-07-02,01:44:00,85
2016-06-15,22:44:00,258
2016-06-30,09:29:00,518
2016-06-21,23:59:00,148
2016-06-14,02:14:00,64
2016-06-29,01:44:00,110
2016-06-29,01:59:00,80
2016-06-16,18:44:00,464
2016-06-14,10:59:00,359
2016-06-30,06:44:00,594
2016-06-19,05:14:00,172
2016-06-18,19:14:00,332
2016-06-14,05:44:00,403
2016-06-26,10:29:00,369
2016-06-19,17:14:00,511
2016-06-22,22:59:00,183
2016-06-15,01:44:00,62
2016-07-01,05:59:00,510
2016-06-17,10:59:00,373
2016-06-27,04:14:00,95
2016-06-02,17:44:00,388
2016-06-23,09:59:00,432
2016-06-21,06:59:00,614
2016-06-12,13:29:00,414
2016-06-07,04:14:00,102
2016-06-09,06:59:00,513
2016-06-28,03:14:00,66
2016-06-13,11:59:00,367
2016-06-23,16:59:00,657
2016-06-04,05:44:00,235
2016-06-06,14:59:00,410
2016-06-20,20:29:00,299
2016-06-08,15:44:00,474
2016-06-08,10:59:00,334
2016-06-29,22:44:00,264
2016-06-19,05:44:00,213
2016-06-25,18:29:00,376
2016-06-27,17:59:00,712
2016-06-25,04:29:00,122
2016-06-24,08:59:00,456
2016-06-17,06:14:00,576
2016-06-15,10:59:00,324
2016-06-02,05:44:00,439
2016-07-02,04:44:00,118
2016-06-23,12:44:00,356
2016-06-19,15:59:00,412
2016-07-03,02:44:00,89
2016-06-27,12:14:00,399
2016-06-08,06:14:00,612
2016-06-12,08:29:00,339
2016-06-08,21:44:00,326
2016-06-03,11:14:00,446
2016-06-18,05:14:00,199
2016-06-09,07:29:00,577
2016-06-20,09:44:00,303
2016-06-22,00:59:00,84
2016-06-27,02:59:00,51
2016-06-05,20:29:00,394
2016-06-28,01:14:00,111
2016-06-14,09:59:00,407
2016-06-27,15:44:00,541
2016-06-30,08:14:00,569
2016-06-18,03:14:00,61
2016-06-28,07:59:00,495
2016-06-21,16:44:00,689
2016-06-22,12:29:00,362
2016-06-21,07:14:00,651
2016-06-29,00:44:00,149
2016-06-25,23:29:00,185
2016-06-27,18:44:00,530
2016-06-19,08:29:00,308
2016-06-19,12:44:00,482
2016-06-09,03:29:00,43
2016-06-16,08:29:00,537
2016-06-04,23:59:00,189
2016-06-28,06:59:00,535
2016-06-29,07:29:00,507
2016-06-23,20:29:00,372
2016-06-09,02:44:00,51
2016-06-28,11:59:00,365
2016-06-07,13:44:00,446
2016-06-28,14:14:00,499
2016-06-08,00:44:00,136
2016-06-23,06:44:00,476
2016-07-03,15:44:00,448
2016-06-08,15:14:00,514
2016-07-02,01:14:00,107
2016-06-16,23:44:00,165
2016-06-17,03:59:00,100
2016-06-15,15:29:00,482
2016-07-01,10:59:00,420
2016-06-24,21:59:00,242
2016-06-30,14:44:00,439
2016-06-30,11:44:00,380
2016-06-08,08:29:00,565
2016-06-12,09:59:00,264
2016-06-17,12:44:00,429
2016-06-10,11:44:00,369
2016-06-03,07:29:00,558
2016-06-03,10:14:00,386
2016-06-07,05:44:00,403
2016-06-30,10:59:00,382
2016-06-26,16:59:00,495
2016-06-11,12:44:00,459
2016-06-27,09:59:00,384
2016-06-20,00:59:00,199
2016-06-24,13:44:00,441
2016-06-15,11:44:00,390
2016-06-28,14:44:00,449
2016-07-01,12:14:00,457
2016-06-08,21:59:00,301
2016-06-30,07:44:00,594
2016-06-30,22:14:00,323
2016-06-06,11:29:00,351
2016-07-01,01:29:00,160
2016-06-04,03:44:00,65
2016-07-03,14:29:00,497
2016-07-01,10:29:00,353
2016-06-14,12:44:00,337
2016-06-20,21:14:00,214
2016-07-02,20:44:00,321
2016-06-24,19:44:00,413
2016-06-28,10:44:00,336
2016-07-01,00:59:00,147
2016-06-14,23:29:00,146
2016-06-08,07:44:00,495
2016-06-06,01:59:00,76
2016-06-28,21:44:00,260
2016-06-27,05:29:00,334
2016-06-24,07:14:00,588
2016-06-20,18:59:00,439
2016-06-05,18:44:00,454
2016-06-15,19:14:00,473
2016-06-15,16:44:00,669
2016-06-15,07:59:00,554
2016-06-21,14:44:00,438
2016-06-14,19:14:00,455
2016-06-21,10:59:00,376
2016-06-08,01:29:00,114
2016-06-23,15:14:00,489
2016-06-16,00:14:00,190
2016-07-02,17:29:00,432
2016-06-04,17:29:00,414
2016-07-02,12:29:00,425
2016-06-13,00:29:00,194
2016-06-22,01:29:00,46
2016-06-16,12:44:00,432
2016-06-28,20:29:00,412
2016-06-05,01:14:00,161
2016-06-13,09:29:00,522
2016-06-29,06:29:00,591
2016-06-27,22:59:00,139
2016-06-23,22:44:00,313
2016-06-16,10:59:00,395
2016-06-07,20:44:00,291
2016-06-28,02:59:00,100
2016-06-28,13:44:00,446
2016-06-30,04:14:00,122
2016-06-24,04:44:00,174
2016-06-25,12:44:00,495
2016-06-10,06:14:00,577
2016-06-08,13:14:00,451
2016-06-02,16:14:00,552
2016-06-04,21:14:00,223
2016-06-18,02:59:00,43
2016-06-22,20:29:00,345
2016-06-22,16:44:00,715
2016-06-11,06:14:00,268
2016-07-03,09:59:00,324
2016-06-14,21:44:00,259
2016-06-30,13:29:00,446
